
2026-02-02 21:58:46,225 | INFO     | Launcher        | 
Stopping all services...
2026-02-02 21:58:46,226 | INFO     | Launcher        | All services stopped.
2026-02-02 21:59:06,061 | INFO     | Launcher        | ============================================================
2026-02-02 21:59:06,061 | INFO     | Launcher        | Starting MLS Services
2026-02-02 21:59:06,062 | INFO     | Launcher        | ============================================================
2026-02-02 21:59:06,062 | INFO     | Launcher        | 
Starting manager...
2026-02-02 21:59:06,069 | INFO     | Launcher        | Started manager (PID: 47452) on port 5557
2026-02-02 21:59:06,070 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 21:59:06,070 | INFO     | Launcher        |   Waiting 2.0s before next service...
2026-02-02 21:59:08,070 | INFO     | Launcher        | 
Starting flask...
2026-02-02 21:59:08,078 | INFO     | Launcher        | Started flask (PID: 17592) on port 5000
2026-02-02 21:59:08,078 | INFO     | Launcher        |   URL: http://localhost:5000
2026-02-02 21:59:08,078 | INFO     | Launcher        |   Waiting 2.0s before next service...
2026-02-02 21:59:10,079 | INFO     | Launcher        | 
Starting applet...
2026-02-02 21:59:10,086 | INFO     | Launcher        | Started applet (PID: 26372) on port 5051
2026-02-02 21:59:10,086 | INFO     | Launcher        |   URL: http://localhost:5051
2026-02-02 21:59:10,086 | INFO     | Launcher        |   Waiting 2.0s before next service...
2026-02-02 21:59:12,087 | INFO     | Launcher        | 
Starting optimizer...
2026-02-02 21:59:12,194 | INFO     | Launcher        | Started optimizer (PID: 48404) on port 5050
2026-02-02 21:59:12,194 | INFO     | Launcher        |   URL: http://localhost:5050
2026-02-02 21:59:12,195 | INFO     | Launcher        | 
============================================================
2026-02-02 21:59:12,195 | INFO     | Launcher        | All services started successfully!
2026-02-02 21:59:12,195 | INFO     | Launcher        | ============================================================
2026-02-02 21:59:32,175 | INFO     | Launcher        | ============================================================
2026-02-02 21:59:32,175 | INFO     | Launcher        | Starting MLS Services
2026-02-02 21:59:32,175 | INFO     | Launcher        | ============================================================
2026-02-02 21:59:32,175 | INFO     | Launcher        | 
Starting manager...
2026-02-02 21:59:32,183 | INFO     | Launcher        | Started manager (PID: 45164) on port 5557
2026-02-02 21:59:32,184 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 21:59:32,184 | INFO     | Launcher        |   Waiting 2.0s before next service...
2026-02-02 21:59:34,184 | INFO     | Launcher        | 
Starting flask...
2026-02-02 21:59:34,194 | INFO     | Launcher        | Started flask (PID: 35336) on port 5000
2026-02-02 21:59:34,194 | INFO     | Launcher        |   URL: http://localhost:5000
2026-02-02 21:59:34,194 | INFO     | Launcher        |   Waiting 2.0s before next service...
2026-02-02 21:59:36,195 | INFO     | Launcher        | 
Starting applet...
2026-02-02 21:59:36,204 | INFO     | Launcher        | Started applet (PID: 47672) on port 5051
2026-02-02 21:59:36,205 | INFO     | Launcher        |   URL: http://localhost:5051
2026-02-02 21:59:36,205 | INFO     | Launcher        |   Waiting 2.0s before next service...
2026-02-02 21:59:38,205 | INFO     | Launcher        | 
Starting optimizer...
2026-02-02 21:59:38,213 | INFO     | Launcher        | Started optimizer (PID: 44104) on port 5050
2026-02-02 21:59:38,213 | INFO     | Launcher        |   URL: http://localhost:5050
2026-02-02 21:59:38,214 | INFO     | Launcher        | 
============================================================
2026-02-02 21:59:38,215 | INFO     | Launcher        | All services started successfully!
2026-02-02 21:59:38,215 | INFO     | Launcher        | ============================================================
2026-02-02 21:59:38,215 | INFO     | Launcher        | Monitoring services (Press Ctrl+C to stop)...
2026-02-02 21:59:38,215 | WARNING  | Launcher        | manager is not healthy, restarting...
2026-02-02 21:59:38,215 | INFO     | Launcher        | Stopping manager (PID: 45164)...
2026-02-02 21:59:38,215 | INFO     | Launcher        | Stopped manager gracefully
2026-02-02 21:59:39,221 | INFO     | Launcher        | Started manager (PID: 27880) on port 5557
2026-02-02 21:59:39,221 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 21:59:39,221 | WARNING  | Launcher        | applet is not healthy, restarting...
2026-02-02 21:59:39,221 | INFO     | Launcher        | Stopping applet (PID: 47672)...
2026-02-02 21:59:39,221 | INFO     | Launcher        | Stopped applet gracefully
2026-02-02 21:59:40,227 | INFO     | Launcher        | Started applet (PID: 35680) on port 5051
2026-02-02 21:59:40,227 | INFO     | Launcher        |   URL: http://localhost:5051
2026-02-02 21:59:45,228 | WARNING  | Launcher        | manager is not healthy, restarting...
2026-02-02 21:59:45,229 | INFO     | Launcher        | Stopping manager (PID: 27880)...
2026-02-02 21:59:45,229 | INFO     | Launcher        | Stopped manager gracefully
2026-02-02 21:59:46,234 | INFO     | Launcher        | Started manager (PID: 35460) on port 5557
2026-02-02 21:59:46,235 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 21:59:46,235 | WARNING  | Launcher        | applet is not healthy, restarting...
2026-02-02 21:59:46,235 | INFO     | Launcher        | Stopping applet (PID: 35680)...
2026-02-02 21:59:46,235 | INFO     | Launcher        | Stopped applet gracefully
2026-02-02 21:59:47,240 | INFO     | Launcher        | Started applet (PID: 52364) on port 5051
2026-02-02 21:59:47,240 | INFO     | Launcher        |   URL: http://localhost:5051
2026-02-02 21:59:52,241 | WARNING  | Launcher        | manager is not healthy, restarting...
2026-02-02 21:59:52,241 | INFO     | Launcher        | Stopping manager (PID: 35460)...
2026-02-02 21:59:52,242 | INFO     | Launcher        | Stopped manager gracefully
2026-02-02 21:59:53,246 | INFO     | Launcher        | Started manager (PID: 65116) on port 5557
2026-02-02 21:59:53,246 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 21:59:53,247 | WARNING  | Launcher        | applet is not healthy, restarting...
2026-02-02 21:59:53,247 | INFO     | Launcher        | Stopping applet (PID: 52364)...
2026-02-02 21:59:53,247 | INFO     | Launcher        | Stopped applet gracefully
2026-02-02 21:59:54,252 | INFO     | Launcher        | Started applet (PID: 56452) on port 5051
2026-02-02 21:59:54,253 | INFO     | Launcher        |   URL: http://localhost:5051
2026-02-02 21:59:59,254 | WARNING  | Launcher        | manager is not healthy, restarting...
2026-02-02 21:59:59,254 | INFO     | Launcher        | Stopping manager (PID: 65116)...
2026-02-02 21:59:59,255 | INFO     | Launcher        | Stopped manager gracefully
2026-02-02 22:00:00,260 | INFO     | Launcher        | Started manager (PID: 2180) on port 5557
2026-02-02 22:00:00,260 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 22:00:00,260 | WARNING  | Launcher        | applet is not healthy, restarting...
2026-02-02 22:00:00,260 | INFO     | Launcher        | Stopping applet (PID: 56452)...
2026-02-02 22:00:00,260 | INFO     | Launcher        | Stopped applet gracefully
2026-02-02 22:00:01,266 | INFO     | Launcher        | Started applet (PID: 68196) on port 5051
2026-02-02 22:00:01,266 | INFO     | Launcher        |   URL: http://localhost:5051
2026-02-02 22:00:06,268 | WARNING  | Launcher        | manager is not healthy, restarting...
2026-02-02 22:00:06,268 | INFO     | Launcher        | Stopping manager (PID: 2180)...
2026-02-02 22:00:06,268 | INFO     | Launcher        | Stopped manager gracefully
2026-02-02 22:00:07,274 | INFO     | Launcher        | Started manager (PID: 1952) on port 5557
2026-02-02 22:00:07,275 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 22:00:07,275 | WARNING  | Launcher        | applet is not healthy, restarting...
2026-02-02 22:00:07,275 | INFO     | Launcher        | Stopping applet (PID: 68196)...
2026-02-02 22:00:07,275 | INFO     | Launcher        | Stopped applet gracefully
2026-02-02 22:00:08,280 | INFO     | Launcher        | Started applet (PID: 37352) on port 5051
2026-02-02 22:00:08,280 | INFO     | Launcher        |   URL: http://localhost:5051
2026-02-02 22:00:13,283 | WARNING  | Launcher        | manager is not healthy, restarting...
2026-02-02 22:00:13,283 | INFO     | Launcher        | Stopping manager (PID: 1952)...
2026-02-02 22:00:13,283 | INFO     | Launcher        | Stopped manager gracefully
2026-02-02 22:00:14,289 | INFO     | Launcher        | Started manager (PID: 52564) on port 5557
2026-02-02 22:00:14,289 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 22:00:14,289 | WARNING  | Launcher        | applet is not healthy, restarting...
2026-02-02 22:00:14,289 | INFO     | Launcher        | Stopping applet (PID: 37352)...
2026-02-02 22:00:14,289 | INFO     | Launcher        | Stopped applet gracefully
2026-02-02 22:00:15,294 | INFO     | Launcher        | Started applet (PID: 56652) on port 5051
2026-02-02 22:00:15,294 | INFO     | Launcher        |   URL: http://localhost:5051
2026-02-02 22:00:20,296 | WARNING  | Launcher        | manager is not healthy, restarting...
2026-02-02 22:00:20,296 | INFO     | Launcher        | Stopping manager (PID: 52564)...
2026-02-02 22:00:20,296 | INFO     | Launcher        | Stopped manager gracefully
2026-02-02 22:00:21,302 | INFO     | Launcher        | Started manager (PID: 2608) on port 5557
2026-02-02 22:00:21,302 | INFO     | Launcher        |   URL: tcp://localhost:5557
2026-02-02 22:00:21,302 | WARNING  | Launcher        | applet is not healthy, restarting...
2026-02-02 22:00:21,302 | INFO     | Launcher        | Stopping applet (PID: 56652)...
2026-02-02 22:00:21,302 | INFO     | Launcher        | Stopped applet gracefully
2026-02-02 22:00:22,307 | INFO     | Launcher        | Started applet (PID: 31044) on port 5051
2026-02-02 22:00:22,307 | INFO     | Launcher        |   URL: http://localhost:5051
