2026-01-29 08:35:51,777 | INFO     | Launcher        | ============================================================
2026-01-29 08:35:51,777 | INFO     | Launcher        | Starting all services...
2026-01-29 08:35:51,777 | INFO     | Launcher        | ============================================================
2026-01-29 08:35:51,777 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 08:35:51,790 | INFO     | Launcher        | [Camera] Started with PID 10528
2026-01-29 08:35:52,793 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 08:35:52,812 | INFO     | Launcher        | [Manager] Started with PID 15012
2026-01-29 08:35:53,817 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 08:35:53,832 | INFO     | Launcher        | [Flask] Started with PID 3204
2026-01-29 08:35:54,833 | INFO     | Launcher        | ============================================================
2026-01-29 08:35:54,833 | INFO     | Launcher        | All services started!
2026-01-29 08:35:54,833 | INFO     | Launcher        | ============================================================
2026-01-29 08:35:54,833 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 08:35:55,337 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 08:35:55,345 | INFO     | Launcher        | [Camera] Started with PID 4472
2026-01-29 08:35:55,345 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 08:35:55,846 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 08:35:55,850 | INFO     | Launcher        | [Manager] Started with PID 17512
2026-01-29 08:35:55,850 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 08:35:56,353 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 08:35:56,353 | INFO     | Launcher        | [Flask] Started with PID 18564
2026-01-29 08:36:01,360 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 08:36:01,861 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 08:36:01,867 | INFO     | Launcher        | [Camera] Started with PID 2532
2026-01-29 08:36:01,867 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 08:36:02,369 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 08:36:02,374 | INFO     | Launcher        | [Manager] Started with PID 1516
2026-01-29 08:36:02,374 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 08:36:02,876 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 08:36:02,883 | INFO     | Launcher        | [Flask] Started with PID 14428
2026-01-29 08:36:07,884 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 08:36:08,385 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 08:36:08,385 | INFO     | Launcher        | [Camera] Started with PID 22644
2026-01-29 08:36:08,392 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 08:36:08,893 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 08:36:08,898 | INFO     | Launcher        | [Manager] Started with PID 8208
2026-01-29 08:36:08,898 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 08:36:09,401 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 08:36:09,401 | INFO     | Launcher        | [Flask] Started with PID 9700
2026-01-29 08:36:14,409 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 08:36:14,910 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 08:36:14,912 | INFO     | Launcher        | [Camera] Started with PID 11032
2026-01-29 08:36:14,912 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 08:36:15,418 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 08:36:15,424 | INFO     | Launcher        | [Manager] Started with PID 18284
2026-01-29 08:36:15,425 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 08:36:15,926 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 08:36:15,934 | INFO     | Launcher        | [Flask] Started with PID 17712
2026-01-29 08:36:20,936 | WARNING  | Launcher        | [camera] Health check failed, restarting...
